id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu,bk_e
83,BCCP,PHBC_DEFAULT,Phát hành báo chí,Phát hành báo chí,
85,HCC,CT_LH,"Chi trả lương hưu, bảo hiểm xã hội",Chi trả,
86,HCC,CT_NCC,Chi trả người có công,Chi trả,
87,HCC,CT_BTXH,Chi trả bảo trợ xã hội,Chi trả,
88,HCC,QLNH,Quản lý người hưởng,Chi trả,
89,HCC,CSHT,CSHT,CSHT,
90,TCBC,TK_TT,Tiết kiệm truyền thống,Tiết kiệm & Tín dụng,
91,TCBC,TD,Tín dụng,Tiết kiệm & Tín dụng,
92,TCBC,PTI,PTI,PTI,
93,TCBC,DIEN,Thu tiền điện,Thu tiền điện & Chuyển tiền,
94,TCBC,BHXH-BHYT,BHXH-BHYT,BHXH-BHYT,
95,TCBC,DV_CT,Dịch vụ chuyển tiền,Thu tiền điện & Chuyển tiền,
96,PPBL,B2B,Hàng bán sỉ,Hàng bán sỉ,
97,PPBL,B2C,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ,
98,TCBC,TK_OL,Tiết kiệm online,Tiết kiệm & Tín dụng,
1026,BCCP,CTN001,Chuyển phát tiêu chuẩn,Truyền thống,BK
1027,BCCP,CTN012,Chuyển phát Quà tặng Tiêu chuẩn,Truyền thống,BK
1028,BCCP,CTN015,Chuyển phát Nông sản,Truyền thống,BK
1029,BCCP,CTN016,Chuyển phát Tiêu chuẩn đồng giá,Truyền thống,BK
1030,BCCP,ETN001,EMS Premium Tài liệu,Truyền thống,EMS
1031,BCCP,ETN003,EMS hỏa tốc,Truyền thống,EMS
1032,BCCP,ETN011,EMS Premium Hàng hóa,Truyền thống,EMS
1033,BCCP,ETN013,EMS hỏa tốc,Truyền thống,EMS
1034,BCCP,ETN029,EMS Thư đồng giá,Truyền thống,EMS
1035,BCCP,ETN030,EMS HSXT,Truyền thống,EMS
1036,BCCP,ETN034,EMS tài chính ngân hàng gói tiêu chuẩn,Truyền thống,EMS
1037,BCCP,ETN036,EMS tài chính ngân hàng gói vàng,Truyền thống,EMS
1038,BCCP,ETN039,EMS chuyên tuyến,Truyền thống,EMS
1039,BCCP,ETN044,EMS Last Mile Premium,Truyền thống,EMS
1040,BCCP,ETN045,EMS Lastmile Standard A,Truyền thống,EMS
1041,BCCP,ETN047,Chuyển phát nhanh EMS Quà Tặng,Truyền thống,EMS
1042,BCCP,ETN049,EMS Tài liệu – Gói ưu đãi,Truyền thống,EMS
1043,BCCP,ETN050,EMS Hàng hoá nhanh – Gói ưu đãi,Truyền thống,EMS
1044,BCCP,KT1001,KT1,Truyền thống,BK
1045,BCCP,KT1002,KT1 Hỏa tốc,Truyền thống,BK
1046,BCCP,KT1003,KT1 Hẹn giờ,Truyền thống,BK
1047,BCCP,KT1004,KT1 Hỏa tốc Hẹn giờ,Truyền thống,BK
1048,BCCP,KT1005,KTI A,Truyền thống,BK
1049,BCCP,KT1006,KT1 B,Truyền thống,BK
1050,BCCP,KT1007,KTI C,Truyền thống,BK
1051,BCCP,KT1008,KT1 Hỏa tốc - A,Truyền thống,BK
1052,BCCP,KT1009,KT1 Hỏa tốc - B,Truyền thống,BK
1053,BCCP,KT1010,KT1 Hỏa tốc - C,Truyền thống,BK
1054,BCCP,KT1011,KT1 Hỏa tốc Hẹn giờ - A,Truyền thống,BK
1055,BCCP,KT1012,KT1 Hỏa tốc Hẹn giờ - B,Truyền thống,BK
1056,BCCP,KT1013,KT1 Hỏa tốc Hẹn giờ - C,Truyền thống,BK
1057,BCCP,KT1014,KT1 Hẹn giờ - A,Truyền thống,BK
1058,BCCP,KT1015,KT1 Hẹn giờ - B,Truyền thống,BK
1059,BCCP,KT1016,KT1 Hẹn giờ - C,Truyền thống,BK
1060,BCCP,RTN001,Bưu phẩm bảo đảm,Truyền thống,BK
1061,BCCP,RTN004,Bưu phẩm bảo đảm đồng giá,Truyền thống,BK
1062,BCCP,TTN001,Bưu phẩm thường - Thư,Truyền thống,BK
1063,BCCP,TTN003,Bưu phẩm thường - Ấn phẩm,Truyền thống,BK
1064,BCCP,TTN006,Bưu phẩm KĐC,Truyền thống,BK
1065,BCCP,CTN007,Chuyển phát Tiêu chuẩn Thương mại điện tử,TMĐT,BK
1066,BCCP,CTN008,Tiêu chuẩn sàn Thương mại điện tử,TMĐT,BK
1067,BCCP,CTN009,Chuyển phát Tiêu chuẩn TMĐT đồng giá - gói Cơ bản,TMĐT,BK
1068,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT,BK
1069,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT,BK
1070,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT,BK
1071,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT,EMS
1072,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT,EMS
1073,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT,EMS
