id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
483,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT
484,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT
485,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT
486,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT
487,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT
488,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT
489,BCCP,ETN051,EMS Thương mại điện tử Eco Plus,TMĐT
490,BCCP,CQT002,Bưu kiện thủy bộ,Quốc tế
491,BCCP,CQT003,Bưu kiện máy bay,Quốc tế
492,BCCP,CQT004,Bưu kiện chuyên tuyến,Quốc tế
493,BCCP,CQT007,Bưu kiện bay - Gói Đồng,Quốc tế
494,BCCP,CQT008,Bưu kiện máy bay - Gói Bạc,Quốc tế
495,BCCP,CQT009,Bưu kiện máy bay - Gói Vàng,Quốc tế
496,BCCP,CQT010,Bưu kiện máy bay - Gói Kim Cương,Quốc tế
497,BCCP,DHL001,DHL Tài liệu zone10,Quốc tế
498,BCCP,DHL002,DHL Hàng hoá zone10,Quốc tế
499,BCCP,EQT001,EMS tài liệu quốc tế,Quốc tế
500,BCCP,EQT002,EMS hàng hóa quốc tế,Quốc tế
501,BCCP,EQT003,CPN Chuyên tuyến đi Mỹ,Quốc tế
502,BCCP,LQT004,Gói nhỏ Epacket,Quốc tế
503,BCCP,LQT005,Gói nhỏ Asean Pack,Quốc tế
504,BCCP,PRM004,Gói nhỏ Prime Tracked,Quốc tế
505,BCCP,RQT001,Tài liệu bảo đảm đi quốc tế,Quốc tế
506,BCCP,RQT003,Ân phẩm bảo đảm,Quốc tế
507,BCCP,RQT006,Gói nhỏ đảm bảo,Quốc tế
508,BCCP,RQT008,Gói nhỏ đảm bảo - Gói bạc,Quốc tế
509,BCCP,RQT009,Gói nhỏ bảo đảm - Gói vàng,Quốc tế
510,BCCP,RQT010,Gói nhỏ bảo đảm - Gói kim cương,Quốc tế
511,BCCP,RQT011,Gói nhỏ đảm bảo - Gói đồng,Quốc tế
512,BCCP,TQT001,Tài liệu cơ bản đi quốc tế,Quốc tế
513,BCCP,TQT007,Thư công ích đi Quốc tế,Quốc tế
514,BCCP,UPS002,UPS Tài liệu,Quốc tế
515,BCCP,CTN024,Chuển phát Tiêu chuẩn - Giá trị cao,Truyền thống
516,BCCP,CTN028,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạch Kim,TMĐT
517,BCCP,CTN031,Chuyển phát Tiêu chuẩn TMĐT 48h - Gói Pro,TMĐT
518,HCC,HCC001,Hành chính công EMS,Hành chính công
519,HCC,HCC002,Hành chính công EMS có VAT,Hành chính công
520,HCC,HCC003,Hành chính công BPBĐ,Hành chính công
521,HCC,HCC004,Hành chính công BPBĐ có VAT,Hành chính công
522,BCCP,ETN043,EMS Siêu tốc Hà Nội - HCM,Truyền thống
