id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
814,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT
815,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT
816,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT
817,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT
818,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT
819,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT
820,BCCP,ETN051,EMS Thương mại điện tử Eco Plus,TMĐT
821,BCCP,CQT002,Bưu kiện thủy bộ,Quốc tế
822,BCCP,CQT003,Bưu kiện máy bay,Quốc tế
823,BCCP,CQT004,Bưu kiện chuyên tuyến,Quốc tế
824,BCCP,CQT007,Bưu kiện bay - Gói Đồng,Quốc tế
825,BCCP,CQT008,Bưu kiện máy bay - Gói Bạc,Quốc tế
826,BCCP,CQT009,Bưu kiện máy bay - Gói Vàng,Quốc tế
827,BCCP,CQT010,Bưu kiện máy bay - Gói Kim Cương,Quốc tế
828,BCCP,DHL001,DHL Tài liệu zone10,Quốc tế
829,BCCP,DHL002,DHL Hàng hoá zone10,Quốc tế
830,BCCP,EQT001,EMS tài liệu quốc tế,Quốc tế
831,BCCP,EQT002,EMS hàng hóa quốc tế,Quốc tế
832,BCCP,EQT003,CPN Chuyên tuyến đi Mỹ,Quốc tế
833,BCCP,LQT004,Gói nhỏ Epacket,Quốc tế
834,BCCP,LQT005,Gói nhỏ Asean Pack,Quốc tế
835,BCCP,PRM004,Gói nhỏ Prime Tracked,Quốc tế
836,BCCP,RQT001,Tài liệu bảo đảm đi quốc tế,Quốc tế
837,BCCP,RQT003,Ân phẩm bảo đảm,Quốc tế
838,BCCP,RQT006,Gói nhỏ đảm bảo,Quốc tế
839,BCCP,RQT008,Gói nhỏ đảm bảo - Gói bạc,Quốc tế
840,BCCP,RQT009,Gói nhỏ bảo đảm - Gói vàng,Quốc tế
841,BCCP,RQT010,Gói nhỏ bảo đảm - Gói kim cương,Quốc tế
842,BCCP,RQT011,Gói nhỏ đảm bảo - Gói đồng,Quốc tế
843,BCCP,TQT001,Tài liệu cơ bản đi quốc tế,Quốc tế
844,BCCP,TQT007,Thư công ích đi Quốc tế,Quốc tế
845,BCCP,UPS002,UPS Tài liệu,Quốc tế
846,BCCP,CTN024,Chuển phát Tiêu chuẩn - Giá trị cao,Truyền thống
847,BCCP,CTN028,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạch Kim,TMĐT
848,BCCP,CTN031,Chuyển phát Tiêu chuẩn TMĐT 48h - Gói Pro,TMĐT
849,HCC,HCC001,Hành chính công EMS,Hành chính công
850,HCC,HCC002,Hành chính công EMS có VAT,Hành chính công
851,HCC,HCC003,Hành chính công BPBĐ,Hành chính công
852,HCC,HCC004,Hành chính công BPBĐ có VAT,Hành chính công
853,BCCP,ETN043,EMS Siêu tốc Hà Nội - HCM,Truyền thống
854,BCCP,CTN052,Chuyển phát nhanh hàng nông sản,Truyền thống
