id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
78,BCCP,HCC001,Hành chính công EMS,Hành chính công
79,BCCP,HCC002,Hành chính công EMS có VAT,Hành chính công
80,BCCP,HCC003,Hành chính công BPBĐ,Hành chính công
81,BCCP,HCC004,Hành chính công BPBĐ có VAT,Hành chính công
83,BCCP,PHBC_DEFAULT,Phát hành báo chí,Phát hành báo chí
84,HCC,Chuyển phát HCC,Chuyển phát HCC,Chuyển phát HCC
85,HCC,"Chi trả lương hưu, bảo hiểm xã hội","Chi trả lương hưu, bảo hiểm xã hội","Chi trả lương hưu, bảo hiểm xã hội"
86,HCC,Chi trả người có công,Chi trả người có công,Chi trả người có công
87,HCC,Chi trả bảo trợ xã hội,Chi trả bảo trợ xã hội,Chi trả bảo trợ xã hội
88,HCC,Quản lý người hưởng,Quản lý người hưởng,Quản lý người hưởng
89,HCC,CSHT,CSHT,CSHT
90,TCBC,Tiết kiệm,Tiết kiệm,Tiết kiệm
91,TCBC,Tín dụng,Tín dụng,Tín dụng
92,TCBC,PTI,PTI,PTI
93,TCBC,Thu tiền điện,Thu tiền điện,Thu tiền điện
94,TCBC,BHXH-BHYT,BHXH-BHYT,BHXH-BHYT
95,TCBC,Dịch vụ chuyển tiền,Dịch vụ chuyển tiền,Dịch vụ chuyển tiền
96,PPBL,Hàng bán sỉ,Hàng bán sỉ,Hàng bán sỉ
97,PPBL,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ
277,BCCP,CTN001,Chuyển phát tiêu chuẩn,Truyền thống
278,BCCP,CTN012,Chuyển phát Quà tặng Tiêu chuẩn,Truyền thống
279,BCCP,CTN015,Chuyển phát Nông sản,Truyền thống
280,BCCP,CTN016,Chuyển phát Tiêu chuẩn đồng giá,Truyền thống
281,BCCP,ETN001,EMS Premium Tài liệu,Truyền thống
282,BCCP,ETN003,EMS hỏa tốc,Truyền thống
283,BCCP,ETN011,EMS Premium Hàng hóa,Truyền thống
284,BCCP,ETN013,EMS hỏa tốc,Truyền thống
285,BCCP,ETN029,EMS Thư đồng giá,Truyền thống
286,BCCP,ETN030,EMS HSXT,Truyền thống
287,BCCP,ETN034,EMS tài chính ngân hàng gói tiêu chuẩn,Truyền thống
288,BCCP,ETN036,EMS tài chính ngân hàng gói vàng,Truyền thống
289,BCCP,ETN039,EMS chuyên tuyến,Truyền thống
290,BCCP,ETN044,EMS Last Mile Premium,Truyền thống
291,BCCP,ETN045,EMS Lastmile Standard A,Truyền thống
292,BCCP,ETN047,Chuyển phát nhanh EMS Quà Tặng,Truyền thống
293,BCCP,ETN049,EMS Tài liệu – Gói ưu đãi,Truyền thống
294,BCCP,ETN050,EMS Hàng hoá nhanh – Gói ưu đãi,Truyền thống
295,BCCP,KT1001,KT1,Truyền thống
296,BCCP,KT1002,KT1 Hỏa tốc,Truyền thống
297,BCCP,KT1003,KT1 Hẹn giờ,Truyền thống
298,BCCP,KT1004,KT1 Hỏa tốc Hẹn giờ,Truyền thống
299,BCCP,KT1005,KTI A,Truyền thống
300,BCCP,KT1006,KT1 B,Truyền thống
301,BCCP,KT1007,KTI C,Truyền thống
302,BCCP,KT1008,KT1 Hỏa tốc - A,Truyền thống
303,BCCP,KT1009,KT1 Hỏa tốc - B,Truyền thống
304,BCCP,KT1010,KT1 Hỏa tốc - C,Truyền thống
305,BCCP,KT1011,KT1 Hỏa tốc Hẹn giờ - A,Truyền thống
306,BCCP,KT1012,KT1 Hỏa tốc Hẹn giờ - B,Truyền thống
307,BCCP,KT1013,KT1 Hỏa tốc Hẹn giờ - C,Truyền thống
308,BCCP,KT1014,KT1 Hẹn giờ - A,Truyền thống
309,BCCP,KT1015,KT1 Hẹn giờ - B,Truyền thống
310,BCCP,KT1016,KT1 Hẹn giờ - C,Truyền thống
311,BCCP,RTN001,Bưu phẩm bảo đảm,Truyền thống
312,BCCP,RTN004,Bưu phẩm bảo đảm đồng giá,Truyền thống
313,BCCP,TTN001,Bưu phẩm thường - Thư,Truyền thống
314,BCCP,TTN003,Bưu phẩm thường - Ấn phẩm,Truyền thống
315,BCCP,TTN006,Bưu phẩm KĐC,Truyền thống
316,BCCP,CTN007,Chuyển phát Tiêu chuẩn Thương mại điện tử,TMĐT
317,BCCP,CTN008,Tiêu chuẩn sàn Thương mại điện tử,TMĐT
318,BCCP,CTN009,Chuyển phát Tiêu chuẩn TMĐT đồng giá - gói Cơ bản,TMĐT
319,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT
320,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT
321,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT
322,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT
323,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT
324,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT
325,BCCP,ETN051,EMS Thương mại điện tử Eco Plus,TMĐT
326,BCCP,CQT002,Bưu kiện thủy bộ,Quốc tế
327,BCCP,CQT003,Bưu kiện máy bay,Quốc tế
328,BCCP,CQT004,Bưu kiện chuyên tuyến,Quốc tế
329,BCCP,CQT007,Bưu kiện bay - Gói Đồng,Quốc tế
330,BCCP,CQT008,Bưu kiện máy bay - Gói Bạc,Quốc tế
331,BCCP,CQT009,Bưu kiện máy bay - Gói Vàng,Quốc tế
332,BCCP,CQT010,Bưu kiện máy bay - Gói Kim Cương,Quốc tế
333,BCCP,DHL001,DHL Tài liệu zone10,Quốc tế
334,BCCP,DHL002,DHL Hàng hoá zone10,Quốc tế
335,BCCP,EQT001,EMS tài liệu quốc tế,Quốc tế
336,BCCP,EQT002,EMS hàng hóa quốc tế,Quốc tế
337,BCCP,EQT003,CPN Chuyên tuyến đi Mỹ,Quốc tế
