id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
83,BCCP,PHBC_DEFAULT,Phát hành báo chí,Phát hành báo chí
84,HCC,Chuyển phát HCC,Chuyển phát HCC,Chuyển phát HCC
85,HCC,"Chi trả lương hưu, bảo hiểm xã hội","Chi trả lương hưu, bảo hiểm xã hội","Chi trả lương hưu, bảo hiểm xã hội"
86,HCC,Chi trả người có công,Chi trả người có công,Chi trả người có công
87,HCC,Chi trả bảo trợ xã hội,Chi trả bảo trợ xã hội,Chi trả bảo trợ xã hội
88,HCC,Quản lý người hưởng,Quản lý người hưởng,Quản lý người hưởng
89,HCC,CSHT,CSHT,CSHT
90,TCBC,Tiết kiệm,Tiết kiệm,Tiết kiệm
91,TCBC,Tín dụng,Tín dụng,Tín dụng
92,TCBC,PTI,PTI,PTI
93,TCBC,Thu tiền điện,Thu tiền điện,Thu tiền điện
94,TCBC,BHXH-BHYT,BHXH-BHYT,BHXH-BHYT
95,TCBC,Dịch vụ chuyển tiền,Dịch vụ chuyển tiền,Dịch vụ chuyển tiền
96,PPBL,Hàng bán sỉ,Hàng bán sỉ,Hàng bán sỉ
97,PPBL,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ
689,BCCP,CTN001,Chuyển phát tiêu chuẩn,Truyền thống
690,BCCP,CTN012,Chuyển phát Quà tặng Tiêu chuẩn,Truyền thống
691,BCCP,CTN015,Chuyển phát Nông sản,Truyền thống
692,BCCP,CTN016,Chuyển phát Tiêu chuẩn đồng giá,Truyền thống
693,BCCP,ETN001,EMS Premium Tài liệu,Truyền thống
694,BCCP,ETN003,EMS hỏa tốc,Truyền thống
695,BCCP,ETN011,EMS Premium Hàng hóa,Truyền thống
696,BCCP,ETN013,EMS hỏa tốc,Truyền thống
697,BCCP,ETN029,EMS Thư đồng giá,Truyền thống
698,BCCP,ETN030,EMS HSXT,Truyền thống
699,BCCP,ETN034,EMS tài chính ngân hàng gói tiêu chuẩn,Truyền thống
700,BCCP,ETN036,EMS tài chính ngân hàng gói vàng,Truyền thống
701,BCCP,ETN039,EMS chuyên tuyến,Truyền thống
702,BCCP,ETN044,EMS Last Mile Premium,Truyền thống
703,BCCP,ETN045,EMS Lastmile Standard A,Truyền thống
704,BCCP,ETN047,Chuyển phát nhanh EMS Quà Tặng,Truyền thống
705,BCCP,ETN049,EMS Tài liệu – Gói ưu đãi,Truyền thống
706,BCCP,ETN050,EMS Hàng hoá nhanh – Gói ưu đãi,Truyền thống
707,BCCP,KT1001,KT1,Truyền thống
708,BCCP,KT1002,KT1 Hỏa tốc,Truyền thống
709,BCCP,KT1003,KT1 Hẹn giờ,Truyền thống
710,BCCP,KT1004,KT1 Hỏa tốc Hẹn giờ,Truyền thống
711,BCCP,KT1005,KTI A,Truyền thống
712,BCCP,KT1006,KT1 B,Truyền thống
713,BCCP,KT1007,KTI C,Truyền thống
714,BCCP,KT1008,KT1 Hỏa tốc - A,Truyền thống
715,BCCP,KT1009,KT1 Hỏa tốc - B,Truyền thống
716,BCCP,KT1010,KT1 Hỏa tốc - C,Truyền thống
717,BCCP,KT1011,KT1 Hỏa tốc Hẹn giờ - A,Truyền thống
718,BCCP,KT1012,KT1 Hỏa tốc Hẹn giờ - B,Truyền thống
719,BCCP,KT1013,KT1 Hỏa tốc Hẹn giờ - C,Truyền thống
720,BCCP,KT1014,KT1 Hẹn giờ - A,Truyền thống
721,BCCP,KT1015,KT1 Hẹn giờ - B,Truyền thống
722,BCCP,KT1016,KT1 Hẹn giờ - C,Truyền thống
723,BCCP,RTN001,Bưu phẩm bảo đảm,Truyền thống
724,BCCP,RTN004,Bưu phẩm bảo đảm đồng giá,Truyền thống
725,BCCP,TTN001,Bưu phẩm thường - Thư,Truyền thống
726,BCCP,TTN003,Bưu phẩm thường - Ấn phẩm,Truyền thống
727,BCCP,TTN006,Bưu phẩm KĐC,Truyền thống
728,BCCP,CTN007,Chuyển phát Tiêu chuẩn Thương mại điện tử,TMĐT
729,BCCP,CTN008,Tiêu chuẩn sàn Thương mại điện tử,TMĐT
730,BCCP,CTN009,Chuyển phát Tiêu chuẩn TMĐT đồng giá - gói Cơ bản,TMĐT
