id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu
83,BCCP,PHBC_DEFAULT,Phát hành báo chí,Phát hành báo chí
84,HCC,Chuyển phát HCC,Chuyển phát HCC,Chuyển phát HCC
85,HCC,"Chi trả lương hưu, bảo hiểm xã hội","Chi trả lương hưu, bảo hiểm xã hội","Chi trả lương hưu, bảo hiểm xã hội"
86,HCC,Chi trả người có công,Chi trả người có công,Chi trả người có công
87,HCC,Chi trả bảo trợ xã hội,Chi trả bảo trợ xã hội,Chi trả bảo trợ xã hội
88,HCC,Quản lý người hưởng,Quản lý người hưởng,Quản lý người hưởng
89,HCC,CSHT,CSHT,CSHT
90,TCBC,Tiết kiệm,Tiết kiệm,Tiết kiệm
91,TCBC,Tín dụng,Tín dụng,Tín dụng
92,TCBC,PTI,PTI,PTI
93,TCBC,Thu tiền điện,Thu tiền điện,Thu tiền điện
94,TCBC,BHXH-BHYT,BHXH-BHYT,BHXH-BHYT
95,TCBC,Dịch vụ chuyển tiền,Dịch vụ chuyển tiền,Dịch vụ chuyển tiền
96,PPBL,Hàng bán sỉ,Hàng bán sỉ,Hàng bán sỉ
97,PPBL,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ
359,BCCP,CTN001,Chuyển phát tiêu chuẩn,Truyền thống
360,BCCP,CTN012,Chuyển phát Quà tặng Tiêu chuẩn,Truyền thống
361,BCCP,CTN015,Chuyển phát Nông sản,Truyền thống
362,BCCP,CTN016,Chuyển phát Tiêu chuẩn đồng giá,Truyền thống
363,BCCP,ETN001,EMS Premium Tài liệu,Truyền thống
364,BCCP,ETN003,EMS hỏa tốc,Truyền thống
365,BCCP,ETN011,EMS Premium Hàng hóa,Truyền thống
366,BCCP,ETN013,EMS hỏa tốc,Truyền thống
367,BCCP,ETN029,EMS Thư đồng giá,Truyền thống
368,BCCP,ETN030,EMS HSXT,Truyền thống
369,BCCP,ETN034,EMS tài chính ngân hàng gói tiêu chuẩn,Truyền thống
370,BCCP,ETN036,EMS tài chính ngân hàng gói vàng,Truyền thống
371,BCCP,ETN039,EMS chuyên tuyến,Truyền thống
372,BCCP,ETN044,EMS Last Mile Premium,Truyền thống
373,BCCP,ETN045,EMS Lastmile Standard A,Truyền thống
374,BCCP,ETN047,Chuyển phát nhanh EMS Quà Tặng,Truyền thống
375,BCCP,ETN049,EMS Tài liệu – Gói ưu đãi,Truyền thống
376,BCCP,ETN050,EMS Hàng hoá nhanh – Gói ưu đãi,Truyền thống
377,BCCP,KT1001,KT1,Truyền thống
378,BCCP,KT1002,KT1 Hỏa tốc,Truyền thống
379,BCCP,KT1003,KT1 Hẹn giờ,Truyền thống
380,BCCP,KT1004,KT1 Hỏa tốc Hẹn giờ,Truyền thống
381,BCCP,KT1005,KTI A,Truyền thống
382,BCCP,KT1006,KT1 B,Truyền thống
383,BCCP,KT1007,KTI C,Truyền thống
384,BCCP,KT1008,KT1 Hỏa tốc - A,Truyền thống
385,BCCP,KT1009,KT1 Hỏa tốc - B,Truyền thống
386,BCCP,KT1010,KT1 Hỏa tốc - C,Truyền thống
387,BCCP,KT1011,KT1 Hỏa tốc Hẹn giờ - A,Truyền thống
388,BCCP,KT1012,KT1 Hỏa tốc Hẹn giờ - B,Truyền thống
389,BCCP,KT1013,KT1 Hỏa tốc Hẹn giờ - C,Truyền thống
390,BCCP,KT1014,KT1 Hẹn giờ - A,Truyền thống
391,BCCP,KT1015,KT1 Hẹn giờ - B,Truyền thống
392,BCCP,KT1016,KT1 Hẹn giờ - C,Truyền thống
393,BCCP,RTN001,Bưu phẩm bảo đảm,Truyền thống
394,BCCP,RTN004,Bưu phẩm bảo đảm đồng giá,Truyền thống
395,BCCP,TTN001,Bưu phẩm thường - Thư,Truyền thống
396,BCCP,TTN003,Bưu phẩm thường - Ấn phẩm,Truyền thống
397,BCCP,TTN006,Bưu phẩm KĐC,Truyền thống
398,BCCP,CTN007,Chuyển phát Tiêu chuẩn Thương mại điện tử,TMĐT
399,BCCP,CTN008,Tiêu chuẩn sàn Thương mại điện tử,TMĐT
400,BCCP,CTN009,Chuyển phát Tiêu chuẩn TMĐT đồng giá - gói Cơ bản,TMĐT
